description,thematic_areas,features_culture_organization,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key
"En el negocio del cemento, Argos es líder en Colombia, quinto productor más grande en América Latina y segundo más grande en el sureste de Estados Unidos. Cuenta con nueve plantas en Colombia, tres en Estados Unidos y una en Honduras; diez moliendas de clínker ubicadas en Colombia, Estados Unidos, Haití, Panamá, República Dominicana, Honduras, la Guayana Francesa y Surinam; y veinticuatro puertos y terminales de recepción y empaque. La capacidad instalada total es de 21 millones de toneladas de cemento al año.",[],[],[],[],[],[],construction
"En 1999 nacimos con la convicción de empoderar a la mujer, aportar a su crecimiento y hacer sus sueños realidad. Hemos convertido la moda en la mejor oportunidad de crecimiento personal, económico y profesional de las mujeres en todo el país, que encontraron en el Catálogo de MP la posibilidad de tener su propio negocio. En 2015 fuimos reconocidos por Great Place to Work como una de las mejores empresas para trabajar en Colombia",,,,,,,commerce
serr,,,,,,,health
Incolmotos Yamaha es una empresa creada en la década de los años 70. Se dedica a la producción y comercialización de motocicletas de la marca japonesa Yamaha. También importa y distribuye los productos musicales de esta marca. ,,,,,,,automotive
"Avinal es una empresa comprometida con la salud de sus clientes, garantizando en sus productos, calidad e inocuidad. Ejecutando sus actividades diarias a través de la innovación e implementación de conocimiento. 
Es una empresa productora y comercializadora de huevos en cáscara, ovoproductos y abonos orgánicos.",,,,,,,agriculture
"Prestar servicios de gestión integral de residuos peligrosos y de manejo especial, cumpliendo los requisitos de nuestros clientes con referencia a la conformidad y cumplimiento, ajustándonos a la normatividad de nuestros usuarios y a la legislación ambiental aplicable, mejorando las condiciones del impacto del transporte y manipulación de los residuos, para prevenir derrames, vertimientos y emisiones contaminantes, protegiendo así los componentes suelo, agua y aire. Garantizar la participación de personal competente e implementar todos los elementos de seguridad industrial y salud ocupacional para prevenir y controlar los riesgos desde la fuente, el medio y las personas. Buscar el desarrollo responsable de la organización con proveedores cuidadosamente seleccionados que contribuyan a mantener costos competitivos en el mercado. Todo enfocado al mejoramiento continuo de nuestros procesos y del sistema integrado de gestión.",[],[],[],[],[],[],environment
"Somos una empresa tecnológica global y no tradicional con 13
años de experiencia brindando soluciones digitales que abordan
desafíos comerciales de misión crítica con un enfoque centrado
en el ser humano y lo acompañamos a través del proceso de
transformación digital.",,,,,,,information_technology_and_software
"M.F.I.S. S.A.S. con sus microfranquicias le ofrece a personas en situación vulnerable la posibilidad de establecer su propio negocio de una forma asequible y simplificada logrando mitigar el riesgo de la independencia laboral y aumentando significativamente los ingresos de las personas que logren el éxito de su punto de venta. Mediante el esquema de franquicia, los microempresarios tienen acceso a modelos de negocios probados y prácticos y reciben todo el acompañamiento y las herramientas necesarias para facilitar la administración exitosa de su negocio.",,,,,,,commerce
Alkosto,,,,,,,health
Descripcion corta de la empresa,,,,,,,health
"Creamos tecnología para #maestrosqueinspiran, nuestro producto principal es TOMi 7 la computadora y asistente personal del maestro, entre las funciones de TOMi 7 están: llamado a lista, calificación de  pruebas, realidad aumentada, posibilidad de convertir una superficie de proyección en una pizarra digital, y otras funciones que pueden sincronizarse con nuestra plataforma educativa de activación free o premium.",,,,,,,information_technology_and_software
"Delta Air Lines is an American airline headquartered in Atlanta, Georgia. 
It is the largest airline in the United States in terms of revenue, passengers 
carried and routes operated. Delta offers flights to more than 300 destinations in 60 countries.",,,"[""SAP"", ""Oracle"", ""IBM"", ""Microsoft Office"", ""Salesforce"", ""Adobe""]","[""remote"", ""in_house"", ""mixed""]","[""accounting"", ""finance"", ""marketing_sales"", ""technology""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""leadership"", ""creativity"", ""innovation""]",others
"Place to Pay es una pasarela de pagos electrónicos con más de quince años en el mercado, que permite a establecimientos de comercio recibir sus pagos través de internet y otros canales no presenciales como aplicaciones móviles y sistemas de audiorespuesta.

Es importante entender que nuestros ingresos provienen de cobrar una comisión por cada transacción realizada por nuestros clientes (comercios que venden online), así las cosas, debemos aportar con soluciones que los ayuden a vender más y de ese modo nuestras ventas también crecerán.",,,,,,,health
Empresa de la Organización Corona que se encarga de la logística nacional e internacional para las empresas del grupo y otras.,,,,,,,transport_and_storage
"Somos una compañía que nació hace 38 años en la ciudad de Medellín, Colombia. Desde entonces producimos y comercializamos una completa línea de productos textiles para el hogar. Todos nuestros productos son diseñados y desarrollados bajo conceptos de moda e innovación, brindando la posibilidad de crear todo un ambiente que se adapte a diferentes segmentos y estilos de vida.",,,,,,,textile_and_clothing
Descripcion corta de la empresa,,,,,,,health
"La palabra CARALZ proviene de los apellidos de dos Ingenieros que su unen para promover un proyecto que surge a raíz del cierre de la planta de producción de una importante empresa química donde uno de ellos trabajaba en el área de Pinturas Automotrices.

Aunque CARALZ S.A.S. como sociedad fue constituida el 25 de julio del año 2000, podríamos decir que su fundación se remonta a comienzos de septiembre de 1999, cuando arranca la fase pre-operativa de la Empresa.",,,,,,,others
"La Fundación Red Colombiana de Semilleros de Investigación es una organización sin ánimo de lucro articulada con la educación básica, secundaria y terciaria, líder en la consolidación de una cultura investigativa fundamentada en la formación y el trabajo en red de semilleros de investigación, mediados por escenarios de socialización, gestión y apropiación social del conocimiento.",[],[],[],[],[],[],education
"La Agencia para la Gestión del Paisaje, el Patrimonio y las Alianzas Público-Privadas, tendrá por objeto gestionar y promover las acciones que garanticen la cualificación, sostenibilidad y mantenimiento del Sistema Público y Colectivo definido en el Plan de Ordenamiento Territorial, enfocándose al espacio público de esparcimiento y encuentro, paisaje, patrimonio, los equipamientos y demás bienes fiscales que hagan parte de los correspondientes proyectos; realizar la gestión requerida para promover la generación o incremento de recursos a través de la implementación y gestión de los instrumentos financieros definidos en el POT y fomentar la incorporación de capitales privados a proyectos de inversión de beneficio público.",,,,,,,public
Descripción...,,,,,,,automotive
WebSaas,,,,,,,health
Descripción...,,,,,,,others
Handy Pure,,,,,,,health
"Ofrecemos soluciones de transporte enfocados a mejorar la calidad de vida de nuestros clientes, creando un crecimiento sostenible para nuestros empleados, proveedores y accionistas.",,,,,,,automotive
Plataforma que impulsa la Innovación Abierta y abre las necesidades de las compañías al mundo. Singles´s te da velocidad para innovar y resolver retos empresariales.,,,,,,,health
"Administrar las áreas del Sistema de Parques Nacionales Naturales de Colombia y coordinar el Sistema Nacional de Areas Protegidas, con el propósito de conservar in situ la diversidad biológica y ecosistémica representativa del país, proveer y mantener bienes y servicios ambientales, proteger el patrimonio cultural y el hábitat natural donde se desarrollan las culturas tradicionales como parte del Patrimonio Nacional y aportar al desarrollo humano sostenible, bajo los principios de transparencia, solidaridad, equidad, participación y respeto a la diversidad cultural.",,,,,,,health
"Somos una compañía dedicada al diseño, producción y comercialización de propuestas completas de vestuario y accesorios para bebés, niños y niñas. Creamos, innovamos y sorprendemos con todo lo que hacemos.

Brindamos experiencias de placer y seducción, nos dejamos llevar por las emociones y nos encanta construir relaciones.

Incentivamos todos lo logros creativos, desde el más sofisticado al más pequeño, contagiamos la gente de nuevos proyectos, y ayudamos a las personas a expresarse

Somos impulsivos y espontáneos, vivimos el momento… entregamos JUEGO, RISA Y DIVERSIÓN","[1, 2, 3, 4, 7, 9, 13, 15, 18]","[""creative_collaborative_environments"", ""be_open_change"", ""promote_integrated_leaders""]",[],"[""in_house"", ""virtual"", ""mixed""]",[],[],textile_and_clothing
Allus Global BPO Center,,,,,,,others
"Transportadora de Metano E.S.P. S.A. - TRANSMETANO -es una empresa de servicio público

de transporte de gas natural, que ejerce la propiedad y operación del gasoducto Sebastopol -

Medellín, con 190 kilómetros de redes de tubería en el departamento de Antioquia.

La infraestructura de transporte del gasoducto Sebastopol - Medellín cubre las regiones del

Magdalena Medio, Nordeste y Oriente de Antioquia, y el norte del Área Metropolitana del

Valle de Aburrá, para atender a las empresas de distribución de gas natural de la región,

algunos clientes industriales conectados a la red de transporte y una empresa de

comercialización de GNV.",,,,,,,others
"Si arribó a tierras colombianas, no lo piense dos veces y péguese la rodadita hasta Chía, la Ciudad de la Luna. En este universo laberítico se reúne toda la cultura y sabrosura de nuestro país. Entrar a este Paraíso Pagano abrirá sus ojos y su mente a un mundo de posibilidades donde el goce y la algarabía son el único fin inmediato. Dele gusto a su paladar y a su mirada, porque por aquí se cocina y se alimenta lo mejor de lo mejor de la tierrita.",,,,,,,food_and_beverages
"FedEx Corporation is a transportation and logistics company headquartered in Memphis, Tennessee. 
It was founded in 1971 by Frederick W. Smith and is one of the largest logistics companies in the world. 
FedEx offers a wide range of services, including air freight, ground freight, ocean freight, express delivery, 
and warehousing services.",,,"[""FedEx Ship Manager"", ""Manhattan Associates"", ""Route4Me"", ""Fishbowl""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""customer_service"", ""technology""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""punctuality"", ""leadership""]",transport_and_storage
"Somos un negocio enfocado en entregar a sus clientes un producto de alta calidad a un precio justo. La frescura, tamaño y rapidez son características fundamentales de nuestro servicio",,,,,,,food_and_beverages
"Bristol-Myers Squibb is a global biopharmaceutical company engaged in the research, development, 
manufacturing and commercialization of innovative medicines for the treatment of serious diseases. 
The company is headquartered in New York, USA, with operations around the world.",,,"[""SAP"", ""Oracle"", ""IBM"", ""Tableau"", ""SAS"", ""SPSS""]","[""remote"", ""in_house"", ""mixed""]","[""management_leadership"", ""education""]","[""teamwork"", ""assertive_communication"", ""problem_solving"", ""leadership"", ""creativity"", ""flexibility"", ""adaptability""]",health
"Colgate-Palmolive is a multinational consumer products company, headquartered in New York, United States. 
It is the world largest oral care products company, and also manufactures and sells other personal care, 
household cleaning and pet food products. Colgate-Palmolive operates in more than 200 countries and territories.",,,"[""Webex"", ""SharePoint"", ""Microsoft Dynamics"", ""HubSpot"", ""Jira""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""technology"", ""marketing_sales"", ""management_leadership"", ""customer_service""]","[""problem_solving"", ""leadership"", ""creativity"", ""flexibility"", ""adaptability"", ""teamwork"", ""assertive_communication""]",commerce
"Honeywell is a technology and manufacturing company that offers a wide range of products and services 
for the industrial, commercial and consumer markets. The company has more than 100 years of experience 
and operates in more than 100 countries.",,,"[""Adobe"", ""Autodesk"", ""SolidWorks"", ""MATLAB"", ""Simulink"", ""LabVIEW""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""finance"", ""work_methods"", ""marketing_sales""]","[""critical_thinking"", ""time_management"", ""leadership"", ""emotional_intelligence""]",technology
"TransferHelper is a Taiwanese start-up company, providing both interbank and international money transfer services by using instant messaging platforms.

With the advantages of AI chatbots, TransferHelper enables to provide quick assistance, effective management and fast notification to connect the customers from different countries around the world.

Combining P2P money transfer with chatbots, customers not only get benefits from lower transfer fees, but also have the advantge to have an efficient channel to connect peer-to-peer network transactions.",,,,,,,information_technology_and_software
Buencafé Liofilizado de Colombia.,,,,,,,food_and_beverages
Descripción...,[],[],[],[],[],[],automotive
"La Oficina de la Bici - Manizales formula, gestiona e implementa acciones y recursos, en articulación con actores sociales e institucionales de la ciudad de Manizales, para convertir la bicicleta en un medio de transporte sostenible y en una herramienta de transformación social.
",,,,,,,transport_and_storage
"UnitedHealth Group is a diversified health care and wellness company dedicated to helping people 
live healthier lives. The company is headquartered in Minnetonka, Minnesota, and employs more than 
300,000 people worldwide.",,,"[""SalesForce"", ""SAP"", ""AWS""]","[""remote"", ""in_house"", ""mixed""]","[""accounting"", ""technology"", ""marketing_sales""]","[""Problem resolution"", ""teamwork"", ""Innovation"", ""Assertive comunication""]",health
"Walmart is an American supermarket chain that operates in more than 24 countries. 
It is the world largest retail company by revenue and the world second largest private 
company. Walmart offers a wide variety of products, including groceries, cleaning supplies, clothing, 
electronics, and more.",,,"[""POS"", ""Salesforce"", ""SAP""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""processes"", ""marketing_sales""]","[""assertive_communication"", ""teamwork"", ""leadership"", ""problem_solving""]",commerce
"Mattelsa es una comercializadora y productora de ropa fundada en 2006 en Medellín- Colombia. Se especializa en ""Forward fashion street clothing"" ofreciendo marcas y líneas de productos para hombre y mujer. Actualmente cuenta con 50 tiendas a nivel nacional y una internacional, empleando a 1.170 personas, 540 directas y 630 indirectamente.",,,,,,,textile_and_clothing
"Empresa dedicada a la producción y comercialización de prendas de vestir, calzado y elementos de seguridad industrial. Ajustamos nuestra propuesta  a la necesidad de las empresas y sus equipos de trabajo, buscando diseño, comodidad e identidad en la labor.",,,,,,,agriculture
"Mejoramos el hábitat de millones de Latinoamericanos en 15 países, con los Colores de Pintuco, la Química de Andercol, la Ingeniería de Otek y el comercio de Mundial.  ",,,,,,,agriculture
"""En Auteco no ensamblamos motos, creamos máquinas para soñar"".
Auteco es la empresa líder en Colombia en ensamble de motos y motocarros. 
Nuestra misión consiste en servir con entusiasmo, excelencia y dinamismo, las necesidades y expectativas de nuestros clientes internos y externos, mejorando continuamente la tecnología y la calidad de nuestros productos y servicios en las áreas de fabricación y comercialización, de manera que respondan a las necesidades de transporte, recreación, diversión, equipos de trabajo, energía y suministros para terceros, y en las demás actividades a las cuales se diversifique.

Lo anterior, mediante la participación decidida y comprometida en la aventura empresarial y en el desarrollo de los mercados nacionales e internacionales por parte de nuestros trabajadores, accionistas, distribuidores y proveedores, con productos y servicios de alta calidad, competitivos y rentables. Todo ello dentro de una cultura profundamente humana, con valores, principios, actitudes y prácticas que satisfagan las necesidades de nuestros clientes y de nuestra gente y que permitan a esta su felicidad y su realización integral en sus dimensiones espirituales, intelectuales, emocionales y materiales, buscando contribuir, sin detrimento del medio ambiente, al progreso económico y social y al mejoramiento de la calidad de vida de la comunidad.",[],"[""challenge_work_team"", ""be_open_change"", ""ensure_harmonious_work_climates"", ""offer_nice_workspaces"", ""promote_integrated_leaders""]","[""Office 365"", ""getAbstrac"", ""Todo"", ""Skype""]","[""in_house"", ""mixed"", ""virtual""]","[""marketing_sales"", ""management_leadership"", ""processes""]","[""communication"", ""teamwork"", ""leadership"", ""critical_thinking"", ""ease_adaptation""]",agriculture
"Reune es un espacio de articulacion e interaccion entre las Instituciones de Educacion Superior, que mediante la sinergia de las funciones sustantivas universitarias, desarrolla y fortalece herramientas, modelos y capacidades en innovacion y emprendimiento para generar propuestas de cambio en el tejido social, academico y empresarial.",,,,,,,education
"PayPal is an online payment platform that allows users to send, receive, and store money. 
It also offers a variety of other financial services, such as loans and credit cards.",,,"[""Confluence"", ""SAP"", ""Adobe"", ""AWS""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""marketing_sales"", ""accounting""]","[""teamwork"", ""innovation"", ""assertive_comunication""]",financial
ttt,,,,,,,health
"Somos el centro de innovación y negocios de Medellín. Trabajamos para mejorar la calidad de vida de las personas a través de la innovación.

Innovación, Innovation, Ciencia, Tecnología, Technology, and Science",,"[""quality"", ""collaboration"", ""use_technology"", ""dynamic_change"", ""creative_collaborative_environments""]","[""G-Suite"", ""Office 365"", ""Google Calendar"", ""Google Drive""]","[""mixed""]","[""marketing_sales"", ""economy"", ""accounting"", ""finance"", ""management_leadership"", ""technology"", ""education"", ""processes"", ""work_methods"", ""customer_service""]","[""ease_adaptation"", ""fast_learning"", ""communication"", ""time_management"", ""teamwork""]",education
"Somos una empresa que fabrica y comercializa productos en plástico para proteger de la lluvia, la intemperie, la suciedad y los fluidos en general. Innovamos ofreciendo a nuestros clientes soluciones prácticas y confiables.

Buscamos el crecimiento sostenible generando relaciones duraderas con nuestros proveedores y clientes, basados en el bienestar del equipo de trabajo, la responsabilidad social y el cuidado del medio ambiente.",,,,,,,plastics
Universidad creada como empresa,[],[],[],[],[],[],education
Banco Falabella,,"[""collaboration"", ""use_technology"", ""dynamic_change"", ""be_open_change"", ""promote_integrated_leaders""]","[""Office 365"", ""Workplace"", ""Teams""]","[""in_house"", ""virtual"", ""mixed""]","[""technology""]","[""ease_adaptation"", ""collaboration"", ""leadership"", ""problem_solving"", ""decision_making""]",financial
"Colcafe parte de Grupo Nutresa.
Producción y comercialización de café procesado.
Tostado y Molido e instantáneos.",,,,,,,health
Centro de Distibuion Grupo uribe,,,,,,,textile_and_clothing
"PROADVISORS SAS es una firma de profesionales en Contaduría, Auditoria y ramas afines a la administración, economía y finanzas. Estamos comprometidos en prestar servicios con calidad que permitan garantizar transparencia y confianza en la ejecución de nuestros proyectos, de tal forma nuestros clientes logren la mejor toma de decisiones.",,,,,,,others
"Danaher is a global science and technology company that designs, manufactures, 
and markets products and services for laboratory, medical, and industrial customers. 
The company has more than 60,000 employees worldwide and operates in more than 60 countries.",,,"[""ERP"", ""SCADA"", ""PLCs"", ""SolidWorks"", ""Jira""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""work_methods"", ""marketing_sales""]","[""teamwork"", ""critical_thinking"", ""work_ethic"", ""patience""]",health
Fundación Sura,,,,,,,health
"Somos un equipo de personas altamente competitivas y dinámicas que dedicamos nuestro talento a lograr nuestro propósito de crear soluciones que promueven la salud, entregado bienestar a las personas dentro y fuera del hogar, haciendo su vida y espacios más saludables, desarrollando productos específicos en higiene y nutrición, para los mercados que atendemos.",,,,,,,health
"Anthem Blue Cross and Blue Shield is a comprehensive health company that provides a full 
range of health care services, including insurance, preventive care, and acute care services. 
The company has a strong history of serving its members and is committed to providing high-quality 
healthcare at an affordable price.",,,"[""Computers"", ""Health Management Software"", ""Electronic Health Record Systems"", ""Medical Equipment""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""technology"", ""education""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""critical_thinking"", ""leadership"", ""collaboration""]",health
Unidad de Creacion de Empresas de la Universidad de la Costa CUC,,,,,,,education
Conectar negocios de Latinoamerica con Europa,,,,,,,health
"Adobe is a United States-based multinational software company. It specializes in the development 
of software for the creation, management and publication of digital content. Adobe products include Photoshop, 
Illustrator, InDesign, Acrobat, After Effects, Premiere Pro, and Dreamweaver.",,,"[""Photoshop"", ""Illustrator"", ""InDesign"", ""Acrobat"", ""After Effects"", ""Premiere Pro"", ""Dreamweaver""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""customer_service""]","[""creativity"", ""assertive_communication"", ""problem_solving"", ""teamwork"", ""motivation""]",technology
El Laboratorio del Cafe,,,,,,,food_and_beverages
"eBay is an online marketplace where people can buy and sell a wide variety of products. 
The company was founded in 1995 and is headquartered in San Jose, California.",,,"[""Google Suite"", ""Salesforce"", ""Amazon Web Services"", ""Adobe Creative Cloud""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""accounting"", ""marketing_sales"", ""finance"", ""processes""]","[""flexibility"", ""adaptability"", ""problem_solving"", ""creativity"", ""leadership""]",others
"Alphabet Inc., founded in 2015, is a multinational conglomerate focused on technology and innovation. Its the parent company of Google and several other subsidiaries. With a mission to organize the world information and make it universally accessible, Alphabet is a leader in internet-related services, including search, online advertising, cloud computing, and software development. The companys diversified interests span from autonomous vehicles (Waymo) to life sciences (Verily). Through its innovative ventures and commitment to shaping the future of technology, Alphabet continues to influence and impact various industries on a global scale",,,"[""Google Meet"", ""Google Hangouts"", ""Google Chat"", ""Google Cloud Platform"", ""Android Studio"", ""Google Search Console"", ""Google Analytics"", ""Google Ads"", ""Google AdSense"", ""Google Cloud Storage"", ""Firebase"", ""YouTube Studio"", ""Waymo self-driving technology"", ""Verily life sciences tools""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""accounting"", ""marketing_sales""]","[""critical_thinking"", ""problem_solving"", ""creativity"", ""assertive_communication"", ""collaboration"", ""teamwork"", ""leadership"", ""organization"", ""flexibility"", ""adaptability""]",technology
"Somos una compañía comprometida con la salud, protección, cuidado y bienestar de la piel",,,,,,,pharmaceutical
"La Secretaría de la Juventud es una dependencia del nivel central que tendrá como responsabilidad: Contribuir al desarrollo humano integral de la juventud a través de procesos de conocimiento, información, formación, creación y participación, que reconozcan las diferencias, potencien condiciones y briden herramientas que les permitan ser agentes de cambio y garantes de vida.",,,,,,,public
"Tesla, Inc. is an innovative American electric vehicle and clean energy company founded by Elon Musk. 
Renowned for its cutting-edge electric cars, including the Model S, Model 3, Model X, and Model Y, 
Tesla has revolutionized the automotive industry. The companys focus extends beyond vehicles, encompassing 
solar energy solutions and energy storage through products like the Powerwall and Powerpack. 
Tesla commitment to sustainable technology and its continuous drive for advancements in electric mobility 
have positioned it as a leader in the global push towards a greener future",,,"[""Catia"", ""NX"", ""SIMULIA Abaqus"", ""ANSYS"", ""JIRA"", ""Confluence"", ""Jenkins"", ""Tableau""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""marketing_sales"", ""technology""]","[""creativity"", ""collaboration"", ""teamwork"", ""leadership"", ""adaptability""]",automotive
"Cisco permite a las personas crear conexiones poderosas, ya sea en negocios, educación, filantropía o creatividad. El hardware, software y los servicios que Cisco ofrece se utilizan para crear las soluciones de Internet que hacen posible las redes-que facilita el acceso a la información en cualquier lugar, en cualquier momento. Cisco fue fundado en 1984, por un grupo de especialistas en cómputo de la Universidad de Stanford. Desde sus inicios los ingenieros de Cisco han sido líderes en el desarrollo de las tecnologías de redes de Protocolo IP. Hoy, con más de 65,225 empleados alrededor del mundo Hoy, con más de 65.225 empleados en todo el mundo, esta tradición de innovación continua con productos líderes en la industria y soluciones en las áreas centrales de la compañía de desarrollo de routing y switching, así como en tecnologías avanzadas tales como redes para el hogar, telefonía IP, redes ópticas, seguridad , la creación de redes de área de almacenamiento, y la tecnología inalámbrica. Además de sus productos, Cisco brinda una amplia gama de servicios, incluyendo servicio técnico y servicios avanzados. Cisco vende sus productos y servicios, tanto de manera directa como a través de sus socios de canal, a grandes empresas, empresas comerciales, proveedores de servicios y consumidores.",,,"[""Cisco Network Assistant"", ""Cisco Networking Academy"", ""Cisco Packet Tracer"", ""Cisco IOS"", ""Cisco Nexus"", ""Cisco UCS Manager"", ""Cisco Unified Communications Manager"", ""Cisco WebEx""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""management_leadership""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""critical_thinking""]",technology
"Allianz es uno de los aseguradores más grandes del mundo, atendiendo más de 85 millones de clientes, todo gracias al esfuerzo que desde 1890 seguimos poniendo día a día por entregarle la tranquilidad a cada uno de los que nos ponen su confianza en nosotros.

En Allianz Colombia seguiremos comprometidos con asegurar el futuro de cada colombiano, ofreciéndole soluciones que se ajusten a todas sus necesidades.",,,,,,,financial
"Verizon is a leading telecommunications company that offers wireless, 
Internet, television and business services. The company has more than 100,000 
employees around the world and is committed to providing its customers 
with the best possible experience.",,,"[""Jenkins"", ""Webex Teams"", ""SolarWinds Network Performance Monitor"", ""Palo Alto Networks""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales"", ""customer_service""]","[""leadership"", ""teamwork"", ""innovation""]",telecommunications
Descripcion...,,,,,,,health
"Somos líderes en la distribución y comercialización de combustibles líquidos, gas natural vehicular y fabricación de diferentes tipos de lubricantes.
Distribuimos combustible al mercado de marinos, aviación e industria. Además, ponemos a disposición de nuestros usuarios una amplia red de tiendas altoque y estaciones de servicio Terpel.",,,,,,,mining_and_petroleum
"Ohnana Tents makes heat-reflective tent which keep the inside of the tent up to 13 degrees cooler then regular tents, it's perfect for summer camping.",,,,,,,health
ok,,,,,,,construction
"Suministros de Colombia, Sumicol S.A, es una de las empresas del Grupo Corona. Fue fundada en 1960 para suministrar minerales industriales y otros productos para la cerámica y otros sectores industriales, así como para desarrollar y fabricar productos para la industria de la construcción.",,,,,,,construction
"Somos una organización privada, gremial, con ordenamiento legal, dedicada a la prestación de los servicios que requieren los empresarios, mediante de un grupo humano calificado y los mejores recursos tecnológicos. Trabajamos con base en la ética y la eficiencia, el respeto por el otro, sentido de responsabilidad y compromiso con la comunidad empresarial.",,,,,,,commerce
"Los recuerdos y experiencias se convierten en magia inspiradora.
Cada ingrediente es cuidadosamente seleccionado y mezclado para llegar al alma y hacer chispa en la boca.
La creatividad es un ingrediente esencial.
Se trabaja hasta el último detalle y cada cosa tiene un toque especial.
Predominan los olores a canela, chocolate y café.
Se comparte el amor por las cosas ricas y bien hechas.
Un lugar donde, sin ir más lejos, nuestros sueños se hacen realidad!",,,,,,,food_and_beverages
Flores El Trigal,,,,,,,others
"La razón de ser de Línea Directa S.A.S,  es la moda que apasiona y el amor que transforma. La Compañía está enfocada en el diseño y producción de ropa interior-exterior para hombre y mujer. Comercializa todos los productos a través del canal de la venta directa. Nuestras marcas son: Carmel, Pacifika y Loguin. ",,,,,,,textile_and_clothing
Descripción...,,,,,,,education
"Empresa de transporte público masivo que incluye los medios de metro, cables, buses (articulados y padrones) y próximamente tranvía.",,,,,,,transport_and_storage
Peldar,,,,,,,health
"The Walt Disney Company is an American media and entertainment conglomerate. It is the world 
largest producer of audiovisual content, and its products include movies, television, theme parks, 
consumer products, and publishing.",,,"[""Adobe Creative Suite"", ""Photoshop"", ""Illustrator"", ""After Effects"", ""CMS"", ""Asana"", ""Final Cut Pro""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""customer_service""]","[""flexibility"", ""teamwork"", ""adaptability"", ""problem_solving"", ""critical_thinking"", ""empathy"", ""creativity"", ""time_management"", ""leadership"", ""focus""]",telecommunications
"Pfizer is a biopharmaceutical company that develops, manufactures, 
and markets medicines, vaccines, and biologics. The company is headquartered 
in New York and is present in more than 150 countries.",,,"[""IBM Watson"", ""Adobe Creative Cloud"", ""Illustrator"", ""Salesforce"", ""Tableau""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""finance""]","[""time_management"", ""leadership"", ""Integrity"", ""social_skills""]",health
"Agua Bendita comenzó como un sueño, el de Catalina Álvarez y Mariana Hinestroza, dos mujeres colombianas que decidieron seguir su pasión por el diseño y crearon una marca de trajes de baño únicos y exclusivos. Querían contar su historia al mundo y mostrar lo que Colombia es a través de la mezcla de detalles, diseño contemporáneo y artesanías.",,,,,,,textile_and_clothing
"Es una unidad de negocio de Corona, dedicada a la fabricación y comercialización de productos que conforman soluciones integrales para Baños, Cocinas y Revestimientos para hogares, oficinas, establecimientos comerciales e institucionales. 

Colcerámica opera ocho (8) plantas de producción ubicadas en los departamentos de Cundinamarca y Antioquia en Colombia – tres (3) en Estados Unidos, tres (3) en Centro América, tres (3) en México y una (1) en Brasil – que cuentan con tecnología de punta y cumplen con los más altos estándares de calidad para ofrecer a sus clientes y consumidores los mejores productos con el respaldo de las marcas Corona, Grival y American Standard. Ofrece una gran variedad de productos que incluyen aparatos sanitarios, lavamanos, accesorios, asientos sanitarios, griferías, duchas, herrajes, muebles, elementos de plomería, pisos, paredes, porcelanatos y decorados y cocinas.

La calidad certificada, la innovación y los precios asequibles de su portafolio de productos le permiten ser una de las empresas más grandes de América en la industria de acabados para la construcción. Es líder en el mercado colombiano y tiene posiciones importantes en los mercados de Venezuela, Ecuador, Estados Unidos, Canadá, Chile, Honduras, Jamaica, República Dominicana, México, Panamá, Costa Rica, Guatemala, El Salvador, Puerto Rico y Perú, entre otros.",,,,,,,health
"Somos TCC, grupo humano, íntegro, cálido y experto que brinda tranquilidad y confianza a sus clientes, a través de soluciones logísticas innovadoras en la cadena de abastecimiento.",,,,,,,transport_and_storage
"Nutrir el bienestar de las personas. Juntos.
Es la razón por la que trabajamos todos los días. Y para lograrlo asumimos los retos que nos trae el futuro, aportando a la industria y sus protagonistas, las mejores posibilidades para lograr producir más proteína, más económica y de mejor calidad con unos recursos cada vez más limitados y a través de un emocionante proceso de innovación.
Basados en la investigación y el conocimiento podemos lograr una producción más eficiente que permita a la industria agropecuaria cumplir con su responsabilidad de nutrir saludablemente a los más de 8.000 mil millones de personas que seremos en tan solo una década, basados en criterios medioambientales que aseguren la sostenibilidad.",,,,,,,agriculture
