"name","thematic_area_id","thematic_area","interest_area_id","description","requirements","work_methods","optional_requirements"
"¿Cómo podríamos crear una estrategia de trabajo en convenio con los proveedores para incrementar la eficiencia en nuestro trabajo?",3,"suppliers",NULL,"Los procesos son ralentizan por los tiempos de los proveedores",NULL,"[""to_be_agreed""]",NULL
"Marketing Specialist",7,"communications",NULL,"Empresa de la industria de joyeria de alta gama, se encuentar en la busqueda de un Marketing Head.RequisitosProfesional con conocimientos en marketing 360.Creativo, orientado a resultados, orientado al detalle.7P de maeketing.Habilidades en presentaciones creativas.Inglés Avanzado.ActividadesPlanificar, crear e implementar estrategias de marketing.Habilidades en presentaciones creativas.Lanzamientos.Estudio de mercado.CompensaciónSalario a convenir.Beneficios de la compañía.Modelo Hibrido.      Mostrar más           Mostrar menos. Oferta publicada por T-mapp en Bogotá","[""experiencia"", ""estrategias"", ""recursos humanos"", ""marketing"", ""recursos""]",NULL,NULL
"¿Cómo podríamos incitar a nuestros usuarios a hacer parte de una comunidad de seguidores de nuestra marca?",17,"consumer",NULL,"Existen clientes fieles que podrían ser impulsores de la marca",NULL,"[""to_be_agreed""]",NULL
"Operario de empaque y estibado",13,"product",NULL,"Importante empresa del sector industrial solicita para su equipo de trabajo Operarios de ProducciónRequisitosBachillerExperiencia de 1 año de experiencia en lineas de producción y procesos de fabricación de manera continua, empacar, estibar, cargar.Horario rotativo de 8 horas Lunes a sabado 6 - 2 / 2 - 10 / 10 - 6Salario mínimo + prestaciones de ley         Mostrar más           Mostrar menos. Oferta publicada por Multiempleos S.A. en Bogotá","[""recursos"", ""empresa"", ""procesos"", ""equipo"", ""trabajo"", ""experiencia"", ""recursos humanos"", ""industrial""]",NULL,NULL
"¿Cómo podríamos implementar el trabajo remoto al interior de nuestra organización?",6,"tech",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"COORDINADOR COMERCIAL",11,"market",NULL,"Ejecutar el plan de comercialización de los salones de eventos por medio de su portafolio para maximizar ventas, así mismo debe realizar visitas a los posibles clientes para ofrecer los salones del hotel y para promocionar a las empresas y clientes, paquetes especiales organizados por la Gerencia de Mercadeo.Realizar y reportar logros en las investigaciones de mercado que se realicen con la finalidad de conocer el mercado y la competencia.Mantener contacto telefónico permanente con clientes potenciales con el fin de suplir sus necesidades e intereses.Realizar informes mensuales con indicadores de gestión, visitas y productividad de su portafolio para medir la gestión realizada durante el mes.Segmentar y clasificar el portafolio de ventas con el fin de lograr una mayor eficiencia. RequisitosEstudio minimo como técnico en administración, comercio, mercadeo, publicidad y maketing o carreras afines.Experiencia mínima de un año en el cargo. BeneficiosEn nuestra compañía contamos con un completo Plan de beneficios, diseñado para Crear Experiencias Con Gente Feliz, que incluye la posibilidad de desarrollar con nosotros Plan de Carrera, Descuentos en Alojamiento, Alimentos y Bebidas, Cupones de la Felicidad, entre otros. Te invitamos a ser parte de nuestra Familia y vivir la Experiencia de trabajar para la Operadora Hotelera de mayor crecimiento en la Región.¿Quiénes somos?GHL es el grupo hotelero de mayor crecimiento de la región, con experiencia de más de 50 años en el mercado, con presencia en 11 países y 63 Operaciones Hoteleras multimarcas.¡Somos Creadores de experiencias!En GHL Hoteles, entendemos que el trabajo no debe ser concebido sólo como una transacción o como un fin, desde nuestro enfoque, es un medio que posibilita a las personas la consecución de sus propósitos y metas a largo plazo, a través de nuestra visión, crear experiencias con gente feliz.Sabemos que las personas felices son por lo general más sociables, flexibles y creativas, son más capaces de tolerar las frustraciones cotidianas y los problemas del día a día, son más compasivas con los menos afortunados y mas empáticas con los demás, por eso es parte también de nuestra visión, ser los mejores empleadores de la región.Para esto, promovemos un buen clima laboral, la igualdad, el respeto por los derechos humanos, la no discriminación, el trabajo no forzado, el respeto por la diversidad, la inclusión y ambientes laborales saludables y seguros.¡Nuestros Principios y Valores!Los principios y valores de GHL reflejan lo que es realmente importante para la Compañía, no cambian con el tiempo y son fundamentales para nuestra Cultura OrganizacionalSOMOS Íntegros La Integridad nos obliga a mantener una conducta permanente acorde a la verdad sustentada en la honradez, la lealtad, la ética y la transparencia. De esta forma, todos nuestras negociaciones y operaciones, son manejadas con integridad y transparencia, en el cumplimiento del marco legal.SOMOS Respetuosos Respetamos profundamente los derechos humanos, promovemos la no discriminación, el trabajo no forzado, la diversidad, la libertad de asociación y promovemos la inclusión. Rechazamos el tráfico de personas y la esclavitud moderna.SOMOS Comprometidos Estamos comprometidos por proteger los Derechos Infantiles y evitar la Explotación Sexual y Comercial de Niños, Niñas y Adolescentes (ESCNNA).Estamos comprometidos con la utilización adecuada de nuestros Recursos Naturales y cuidado del Medio ambiente.         Mostrar más           Mostrar menos. Oferta publicada por GHL Hoteles en Perímetro Urbano Bucaramanga","[""no"", ""informes"", ""mercado"", ""desarrollar"", ""trabajo"", ""publicidad"", ""productividad"", ""indicadores"", ""experiencia"", ""ventas""]",NULL,NULL
"¿Cómo podríamos optimizar la atención de los puntos de venta para mejorar la experiencia del cliente?",17,"consumer",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Poder colocar un desarrollados a trabajar en UX",6,"tech",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos demostrar nuestras mejores cualidades cómo organización empleadora por medio de nuestras comunidades (redes/blog/página)?",9,"talent",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Urgente - Asesor Comercial Bogota con o sin experiencia",19,"sales",NULL,"En EFICACIA S.A te estamos buscando.Somos una compañía enfocada en contratar el mejor talento comercial y operativo del país. En esta oportunidad estamos buscando ASESOR COMERCIAL EXTERNO (venta television, telefono,internet) labor EN CALLE, la contratacion es inmediata.Entendemos perfectamente el balance trabajo - vida, por eso contamos con un amplio portafolio de beneficios para todos nuestro colaboradores/aBENEFICIOS Salario: 1.160.000 + todas las prestaciones de ley + auxilio de transporte de 140.000 + comisiones sin techo y prestacionalesPromedio Salarial : 5.000.000 en adelante. Familia: Nos encanta que compartas con ellos. Por eso, tenemos proyectos de vivienda, escuela de padres, entre otros. Educación: Promovemos el desarrollo y el aprendizaje. Recreación: Sabemos la importancia de generar espacios para compartir en familia.REQUERIMOSBachiller académicoCon experiencia en ventas, mínimo 3 meses certificadaHabilidades y la mejor actitud ComercialesFUNCIONESAbordaje en frioVenta de servicioAsesoramiento al clienteCumplimiento de metasTrabaja en una empresa que piensa en ti y en tu familia.La compañía de tus sueños ¡SI EXISTE!Postúlate!!         Mostrar más           Mostrar menos. Oferta publicada por Eficacia en Bogotá","[""empresa"", ""transporte"", ""comercial"", ""servicios"", ""trabajo"", ""talento"", ""desarrollo"", ""experiencia"", ""proyectos"", ""contratacion""]",NULL,NULL
"¿Cómo podríamos implementar modelos de realidad aumentadada en nuestros servicios/productos/procesos para generar valor agregado a nuestra organización?",6,"tech",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos mejorar la interfaz de la plataforma o la app de la organización para hacer más agradable la experiencia del usuario?",6,"tech",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos usar la inteligencia artificial para mejorar procesos al interior de nuestra organización?",6,"tech",NULL,"Los procesos actuales de la organización son ineficientes, requieren de manualidad y operatividad lo que incrementa las probabilidades de errores",NULL,"[""to_be_agreed""]",NULL
"Contador - Bogotá",16,"finance",NULL,"Importante empresa del sector químico requiere para su equipo de trabajo Contador profesionalExperiencia mínima: 3 añosRequisito:Tarjeta Profesional VigenteSalario: $3.000.000 a $3.500.000 según experiencia.Horario: Lunes a Viernes de 7:00 a.m - 5:00 p.m y un Sábado al mes de 7:00 a.m a 12:00 p.m., de acuerdo a las necesidades de la empresa.Conocimientos Específicos Auditoria Presupuestos Normas Internacionales NIIF Legislación Tributaria Vigente Legislación laboral Vigente Impuestos Finanzas Entorno económico Excel Avanzado.LUGAR DE TRABAJO CALLE 13 CON 68         Mostrar más           Mostrar menos. Oferta publicada por Multiempleos S.A. en Bogotá","[""equipo"", ""recursos"", ""trabajo"", ""recursos humanos"", ""empresa""]",NULL,NULL
"Analista - Recursos Humanos y Nomina",9,"talent",NULL,"Se requiere para nuestro equipo de trabajo Profesional en recursos humanos preferiblemente Contador o administrador de empresas que cuente con 2 años de experiencia en el proceso completo de vinculación de personal (envío a exámenes, afiliaciones, elaboración de contratos, verificaciones antecedentes, etc.), liquidación nómina de más de 200 trabajadores, liquidación horas extras, liquidación de prestaciones sociales, elaboración de planilla de seguridad social, elaboración de informes de costos, liquidación pago FIC entre otros.Preferiblemente que maneje el programa contable Siigo y con experiencia en manejo de nóminas de contratos con ECOPETROL preferiblemente.Horario de trabajo de lunes a viernes, contrato directo con la empresa.         Mostrar más           Mostrar menos. Oferta publicada por OTACC S.A en Perímetro Urbano Bucaramanga","[""seguridad"", ""recursos"", ""administrador"", ""informes"", ""manejo"", ""recursos humanos"", ""equipo"", ""experiencia"", ""trabajo""]",NULL,NULL
"Tester Junior",8,"design",NULL,"Tester JuniorEl equipo de Tecnología de EY ofrece un ámbito de crecimiento y de retos que a su vez proporciona y aprovecha las mejores prácticas y un alto grado de perspicacia empresarial que se ha recopilado a lo largo de años de experiencia para garantizar el más alto nivel de ejecución y satisfacción para nuestros clientes. En EY, nuestros métodos no están vinculados a ninguna plataforma específica, sino que se obtienen analizando las necesidades del negocio y asegurándose de que las soluciones entregadas cumplen todos los objetivos del cliente.Lo que buscamos Diseño y ejecución de pruebas manuales sobre plataforma Seguimiento y Actualización de pruebas en JIRAExperiencia de 6 meses en pruebas manuales Conocimientos en JIRA (deseable) Conocimiento en metodologías agilesDisponibilidad de tiempo completoAcerca de EY Como líder mundial en servicios de aseguramiento, impuestos, transacciones y asesoramiento, contratamos y desarrollamos a las personas más apasionadas en su campo para ayudar a construir un mundo laboral mejor. Esto comienza con una cultura que cree en darte la formación, las oportunidades y la libertad creativa para hacer las cosas mejor. Para que, cuando te incorpores, y por mucho tiempo que te quedes, la excepcional experiencia de EY dure toda la vida.Únete a nosotros para construir un mundo laboral mejor.Presenta tu candidatura hoy mismo      Mostrar más           Mostrar menos. Oferta publicada por EY en Bogotá","[""cultura"", ""ninguna"", ""experiencia"", ""no"", ""servicios"", ""equipo""]",NULL,NULL
"Practicante Sistemas Precios y Costos",13,"product",NULL,"Descripción empresa:Sodimac Corona es una empresa de origen colombiano y chileno con más de 28 años de experiencia en el país. Nos dedicamos al mejoramiento del hogar y la construcción.Misión del cargo:Ejecutar y mejorar los procesos de mantenimiento, actualización y sincronización de precios y costos con software y sistemas de informaciónFunciones del cargo:¡Queremos que hagas parte de Sodimac-Corona (Homecenter), la organización en donde juntos construimos sueños y hacemos realidad proyectos de hogar!Estamos buscando un estudiante de ingeniería de sistemas, y carreras semejantes con capacidad de aprendizaje, proactividad, capacidad de análisis, habilidades en manejo de información, toma de decisiones, conocimientos en optimización de procesos, iniciativa y capacidad de arquitectura de software.Deseable: Desarrollo de SW, Arquitectura de SWUtilizar arquitectura de software, herramientas de análisis de bases de datos y desarrollo para ejecutar y optimizar el proceso de actualización y sincronización de los precios de los productos exhibidos en los distintos canales de homecenter-constructor al cliente (tiendas físicas, pagina web, app).Requisitos:Desarrollo y arquitectura SWCondiciones Oferta:Descripción Proceso de Selección:El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.Para postular solo necesitas:Postular a la ofertaRevisar tu emailIngresar a Aira y contestar las preguntas y/o pruebas solicitadasLuego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.         Mostrar más           Mostrar menos. Oferta publicada por Sodimac Colombia en Bogotá","[""software"", ""manejo"", ""bases"", ""experiencia"", ""capacidad"", ""herramientas"", ""procesos"", ""reclutamiento"", ""sistemas"", ""habilidades""]",NULL,NULL
"Psicólogo/A Con Licencia En Seguridad Y Salud En El Trabajo",9,"talent",NULL,"Descripción de la Plaza Institución de Educación Superior Técnica Profesional requiere Psicólogo/a con Licencia en Seguridad y Salud en el Trabajo para unirse al Proyecto de Evaluación de Factores Psicosociales para los trabajadores. Este proyecto es liderado por la Dirección de Recursos Humanos con conjunto con la Profesional en Salud Ocupacional. El proyecto tiene una duración de dos semanas en los que se trabajarán las etapas de Socialización, Aplicación de pruebas, tabulación, análisis de resultados e informes con planes de trabajo a realizar. Persona proactiva, con disposición a aprender, responsable, con buen manejo de herramientas Office, especialmente Excel. Preferiblemente experiencia en este tipo de actividades. Contrato por prestación de servicios durante las dos semanas. Honorarios a Convenir. Interesado/as enviar Hoja de vida a ****** Mínimo Nivel Académico Requerido Universidad Completa         Mostrar más           Mostrar menos. Oferta publicada por Fundación Academia de Dibujo Profesional en No especifica","[""profesional"", ""coaching"", ""informes"", ""servicios"", ""herramientas"", ""manejo"", ""proyecto"", ""experiencia"", ""planes"", ""trabajo""]",NULL,NULL
"¿Cómo podríamos implementar un modelo de horario flexible que beneficie tanto a nuestros trabajadores como a la organización?",9,"talent",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Científico de Datos Jr.",6,"tech",NULL,"Generar valor a la compañía realizando minería de datos, extrayendo información, analizando patrones y tendencias del negocio, de manera que ayude al crecimiento del mismo","[""Python"", ""SQL"", ""Ciencia de Datos"", ""Estadística"", ""Matemática"", ""Visualización datos"", ""Proactividad""]","[""mixed""]","[""Inglés""]"
"Practicante Universitario - Diseño Grafico/Mercadeo/Visual",8,"design",NULL,"Importante Empresa Del Sector Retail, Numero Uno En Lujo y Belleza Requiere Para Su Equipo De Trabajo Practicante Universitario, Quien Apoyara El Área De Mercadeo En Las Siguientes Funciones Branding: creación de identidad corporativa y desarrollo de manuales de marca. Diseño de catálogos y piezas promocionales. Diseño y adaptaciones gráficas para entornos digitales (banners, brochures, Periódico interno, redes sociales y web). Creación y edición de contenido fotográfico. Elaborar presupuestos para cada tienda a actualizar, o marcas por entrar Manejo de la suit de adobeCONDICIONESNivel Educativo: Estudiantes de noveno o decimo semestre de Diseño Grafico o carreras afines.Tipo de Contrato: Contrato de aprendizajeHorario: Lunes a Viernes, horario de oficina.         Mostrar más           Mostrar menos. Oferta publicada por La Riviera S.A.S. en Bogotá","[""redes"", ""redes sociales"", ""desarrollo"", ""presupuestos""]",NULL,NULL
"Jefe Gestion Comercial - Medicamentos",13,"product",NULL,"Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas.Estamos en búsqueda de Jefe Gestion Comercial / Medicamentos.Tu reto Generar estrategias técnico - comerciales a partir de la identificación oportuna de desviaciones presentes en el proceso de dispensación que afecten el margen bruto de los convenios para asegurar el cumplimiento financiero del canal Institucional y el desarrollo del cliente institucional.Lo que buscamos de ti Profesional en Quimica Farmaceutica.Con especializacion en Gerencia Comercial.Mas de 5 años de experiencia gestionando procesos comerciales enfocados en modelos de dispensación de medicamentos y dispositivos médicos en el sistema de salud.Cuáles serían tus condiciones Salario Integral.Contrato Indefinido.Horario de 47 horas semanales.Qué esperas para tomar este nuevo reto, juntos generáremos oportunidades         Mostrar más           Mostrar menos. Oferta publicada por Colsubsidio en Bogotá","[""modelos"", ""especializacion"", ""experiencia"", ""sistema"", ""bienestar"", ""financiero"", ""desarrollo"", ""estrategias"", ""procesos""]",NULL,NULL
"Químico Farmacéutico",6,"tech",NULL,"Únete a Arus, una empresa de Tecnología líder en innovación!Estamos buscando personas como tu, apasionadas, íntegras, empáticas y transparentes. Si cuentas con experiencia mínima de 1 año ejecutando el proceso de auditoria de medicamentos, procedimientos y legislación, definidos para realizar una correcta autorización de la prestación del servicio NO POS, te invitamos a postularte.Tus Retos Serán1. Realizar el proceso técnico de auditoría a todas las solicitudes que impliquen temas relacionados con los medicamentos, no aprobados en el servicio POS, medicamentos no aprobados en el INVIMA o la dosificación de los mismos.2. Examinar la información recibida, evaluar la pertinencia y aplicar las políticas y lineamientos específicos definidos con el cliente para cada proceso, garantizado el cumplimiento de los acuerdos de servicio.3. Auditar la información procesada con el fin de analizar e identificar los detalles de las solicitudes de CTC, garantizando la calidad en beneficio del proceso. 4. Ofrecer asesoramiento a los auxiliares operativos del contrato con el fin de actualizar conceptos básicos que son aportantes a las actividades desarrolladas.      Mostrar más           Mostrar menos. Oferta publicada por ARUS Oficial en Medellin","[""analizar"", ""auditoria"", ""servicio"", ""calidad"", ""no"", ""empresa"", ""experiencia"", ""bienestar""]",NULL,NULL
"CUSTOMER SERVICE TELEPHONE INTERPRETER - Advanced English – level C1 or higher - Remote",17,"consumer",NULL,"Job DescriptionA customer service interpreter handles many types of different calls, including but not limited to: 911 emergencies, accident reports, insurance claims and government program interviews.Technical Skills High school graduate English Level: 90% or aboveRequirements Demonstrate professional behavior at all times. Advanced English – level C1 or higher. High speed internet access with a minimum of 10 MBS. Access to a quiet workspace.Información adicional:Tipo de contrato: A tiempo completo         Mostrar más           Mostrar menos. Oferta publicada por Interpretia en Perímetro Urbano Bucaramanga","[""access"", ""internet"", ""experiencia""]",NULL,NULL
"18981-Técnico de Soporte",6,"tech",NULL,"¿Sabías que Colombiana de Comercio / Corbeta es reconocida a nivel nacional en productos de consumo masivo -Ferretería, Hogar y electrónica? además de contar con unas variedades en canales como Tienda a tienda, autoservicios, mayoristas, institucional.No pierdas esta oportunidad de pertenecer a una gran compañía en constante crecimiento y evolución tecnológica. Corbeta te brindará estabilidad, primas extralegales, auxilios educativos y más beneficios pensados en tu bienestar. Estamos Buscando Técnico o Tecnólogo en sistemas para atender, brindar soporte nivel 1 y dar solución efectiva a los requerimientos relacionados con incidentes o peticiones de servicios de TI asegurando la prestación del servicio de manera oportuna, confiable y eficiente de acuerdo con los niveles de servicio establecidos.Formación académicaTécnico o Tecnología en Sistemas y afinesExperiencia laboral2 años si es Técnico.1 año si es Tecnólogo.En manejo y consulta de bases de datos (SQL)En sistemas operativos Unix y Linux (Deseable)Conocimientos complementariosSistemas operativos Windows, Unix y LinuxCableado y comunicacionesConocimientos en hardware         Mostrar más           Mostrar menos. Oferta publicada por Colombiana de Comercio / Corbeta / Alkosto S.A en Bogotá","[""soporte"", ""sistemas"", ""servicio"", ""bases de datos"", ""consulta"", ""bases"", ""redes"", ""industrial"", ""responsabilidad"", ""servicios""]",NULL,NULL
"Desarrollador de Sistemas",13,"product",NULL,"Bancamia busca talento profesional en Ingeniería de Sistemas o afines.Experiencia mínima de tres años en desarrollo Backend en el lenguaje de programación Java bajo el Framework Spring (Spring Boot) y en desarrollo de Frontend en HTML5, CSS3, Javascript bajo el framework Angular y preferiblemente con conocimiento en desarrollo de aplicaciones hibridas basadas el framework Ionic. Manejo de Bases de datos relacionales y NO-SQL, git y deseable que cuente con conocimientos en AWS y experiencia en trabajo basado en metodologías agiles.Salario a convenirContrato indefinidoPlan de beneficios con el banco (Prima extralegal de vacaciones, Prima extralegal por antigüedad/quinquenio, seguro de Vida y seguro exequial cubierto 100% por el banco, crédito educativo pregrado/posgrado con la posibilidad de condonarse al 100%, auxilio educativo para hijos, crédito de vivienda con tasa preferencial de colaborador, días de descanso remunerados por cumpleaños, día de la familia, matrimonio, entre otros).         Mostrar más           Mostrar menos. Oferta publicada por Banco de las Microfinanzas - Bancamia S.A. en Bogotá","[""trabajo"", ""conocimiento"", ""experiencia"", ""git"", ""profesional"", ""datos"", ""talento"", ""desarrollo""]",NULL,NULL
"Líder de impresión -Cali",13,"product",NULL,"Nos encontramos en la búsqueda de Profesional en ingeniería industrial, mecánica, química o afines. Con experiencia mínima de 3 años en procesos productivos continuos que involucren manejo de personal, materias primas e indicadores de gestión, en proceso de transformación de plásticos (Impresión).Contar con conocimientos en análisis de métodos y tiempos, teorías de mejoramiento continuo, eficiencia, productividad, calidad y disminución de desperdicio.Objetivo: Administrar y gestionar los procesos a su cargo para asegurar que cuenten con los recursos físicos, humanos y técnicos requeridos para el cumplimiento de los planes de producción e indicadores definidos.Disponibilidad para realizar turnos rotativos.Salario: $2.957.443         Mostrar más           Mostrar menos. Oferta publicada por ALIADOS CONSULTORES en Cali","[""manejo"", ""calidad"", ""indicadores"", ""experiencia"", ""planes"", ""recursos"", ""servicios"", ""procesos""]",NULL,NULL
"Analista de Plataforma de Contacto",7,"communications",NULL,"¡Suma tu talento!En Grupo Recordar, nos encontramos en la búsqueda de nuestro Analista de Plataforma de Contacto, quien realizara la potencialización, manejo de las herramientas y solicitudes de clientes que ingresan por plataformas de contacto, con el fin de gestionar la atención y solución de los clientes, buscamos profesionales o estudiantes de carreras en administración de empresas, mercadeo, publicidad o afines, con experiencia mínima reciente de 1 año en manejo de plataformas de contacto al cliente, manejo de correos corporativos y con excelente comunicación y atención al clienteTe OfrecemosContrato a término indefinido directo por la compañíaEstabilidad laboral Plan de beneficios      Mostrar más           Mostrar menos. Oferta publicada por Grupo Recordar en Bogotá","[""experiencia"", ""herramientas"", ""plataformas"", ""publicidad"", ""manejo""]",NULL,NULL
"¿Cómo podríamos crear una estrategia para que el consumidor compre los productos complementarios al principal (venta cruzada)?",19,"sales",NULL,"No se tiene una estrategia clara de venta cruzada con los productos de la organización",NULL,"[""to_be_agreed""]",NULL
"Agente call center// servicio al cliente.",17,"consumer",NULL,"GESTOR DE SERVICIO AL CLIENTEEmpresa del sector de la Construcción requiere URGENTE profesionales GESTOR DE SERVICIO AL CLIENTE con 1 año garantizando la atención oportuna e integra de las PQR´S, Emitir respuestas integras, oportunas, claras y puntuales a los clientes/usuarios/entes de vigilancia y control, Efectuar descarga diaria de los casos que son asignados garantizando su analisis y escalamiento a las áreas que corresponda, con el seguimiento pertinente, Emitir respuestas de las PQR´S dentro de los tiempos establecidos por la compañíaSalario: $ 1.166.000+ todas las prestaciones de ley.(PAGOS QUINCENALES)Horario: Lunes A viernes 8:00 am a 5:00 pmLugar de Trabajo: Suba Niza 127Tipo de Contrato: Obra Labor         Mostrar más           Mostrar menos. Oferta publicada por Multiempleos S.A. en Bogotá","[""experiencia"", ""recursos humanos"", ""servicio"", ""analisis"", ""recursos""]",NULL,NULL
"¿Cómo podríamos conectar los diferentes canales de comunicación con los clientes (omnicanalidad)?",14,"channels",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Desarrollador Backend PHP/Laravel",6,"tech",NULL,"Desarrollador PHP y Laravel con 4 años de experiencia e inglés conversacional.","[""php"", ""laravel"", ""inglés""]","[""virtual""]","[]"
"¿Cómo podríamos mejorar un proceso para incrementar nuestra productividad?",15,"quality",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos desarrollar una campaña de comunicación masiva qué sea efectiva con clientes nuevos y antiguos?",7,"communications",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Aprendiz Contabilidad",16,"finance",NULL,"¿Quieres ser parte de nuestro talento?Estamos en la búsqueda de estudiantes técnicos o tecnológicos en áreas de Contabilidad, Operaciones Comerciales, Gestión Bancaria, Financiero para realizar su etapa productiva.CondicionesContrato de aprendizaje.Auxilio de sostenimiento.Horario lunes a Viernes de 7:00 am a 5:00 pm y Sábados de 8:00 am a 12:00 pm.Practica 100% presencial.Beneficio Casino         Mostrar más           Mostrar menos. Oferta publicada por POSTOBON S.A. en Bogotá",NULL,NULL,NULL
"Asistente Administrativo En Sector Salud",17,"consumer",NULL,"Nos Encontramos en Búsqueda de Auxiliar Administrativo /Administrativo en salud, para desempeñarse como auxiliar de admisiones en una de nuestras sedesRequisitosExperiencia mínimo de 1 año, en línea de frente, orientación al usuario, recepción y admisión de pacientes en entidades de salud.OfrecemosContrato: Obra labor(Todas las prestaciones de Ley).¡ Que esperas para hacer parte de esta gran Familia!¡Postúlate!         Mostrar más           Mostrar menos. Oferta publicada por Zentria en Sabanalarga","[""auxiliar"", ""experiencia"", ""bienestar""]",NULL,NULL
"¿Cómo podríamos conectar los diferentes canales de comunicación con los clientes (omnicanalidad)?",14,"channels",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos crear un movimiento de voluntariado masivo que siga nuestras creencias organizacionales?",1,"rse",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"operarios de producción Envigado",13,"product",NULL,"Dentro De Las Principales Funciones Se EncuentranImportante empresa de plásticos se encuentra en la búsqueda de operarios de inyección, que cuenten con el bachillerato culminado y mínimo 1 año de experiencia como operario de producción.Realizar el procedimiento de manufactura de inyección de productos plásticos.Manejo de planillas y órdenes de producción.Pulir, empacar, estibar y etiquetar el producto final.Cuidado y limpieza de las máquinas.Orden y aseo del sitio de trabajo.Salario 1036000+extras+prestacionesturno Rotativo         Mostrar más           Mostrar menos. Oferta publicada por Wikan BPO en Envigado","[""servicios"", ""experiencia"", ""empresa""]",NULL,NULL
"Operarios de Plastico y Empaque Funza y/o alrededores",13,"product",NULL,"Importante empresa requiere Operarios de Plastico y Empaque con experiencia minima de 1 año en cargos similaresEstudios: Tecnico o TecnologosSalario: $1.800.000Horarios: Lunes a Viernes 7am - 5 pmLugar de trabajo: Funza Cundinamarca         Mostrar más           Mostrar menos. Oferta publicada por Temporal Saitemp en Funza","[""empresa"", ""experiencia""]",NULL,NULL
"Auxiliar administrativo",17,"consumer",NULL,"Importante IPS ubicada en el municipio de Chía Cundinamarca requiere para su equipo de trabajo Auxiliar administrativo para realizar apoyo al cubrimiento de vacaciones del personal para brindar apoyo en manejo de correspondencia, archivo, atención al cliente interno y externo y demás requerimientos determinados por la coordinación de sede. Contrato Obra o labor con todas las prestaciones sociales.         Mostrar más           Mostrar menos. Oferta publicada por Magneto Empleos en No especifica","[""administrativo"", ""manejo"", ""bienestar"", ""trabajo"", ""experiencia"", ""equipo""]",NULL,NULL
"Como crear un sistema que permita efectividad en el proceso de operaciones.",18,"logistics",NULL,"Mal manejo de las operaciones, inconsistencia en la cadena de suministros y proceso.",NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos aumentar la frecuencia de compra de productos/servicios de la organización?",3,"suppliers",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
